id,texto,URL,Author,datePublished,title,rotulo,short url,url,imagem
213,Departamento de Justiça dos EUA divulgam ao mundo toda a corrupção de Lula e Dilma.,https://aosfatos.org/noticias/eua-nao-pediram-prisao-de-lula-e-dilma-ao-investigar-corrupcao-da-odebrecht/,https:www.aosfatos.org,08/11/2018,EUA não pediram prisão de Lula e Dilma ao investigar corrupção da Odebrecht | Aos Fatos,FALSO,https://t.co/XtfgxjawdX,http://www.imprensaviva.com/2016/12/departamento-de-justica-dos-eua.html,
855,China sugere ao Brasil a Lei que dá pena de morte para os políticos corruptos,https://piaui.folha.uol.com.br/lupa/2018/12/11/verificamos-china-lei-pena-de-morte/,https:piaui.folha.uol.com.brlupa,11/12/2018 21:50,#Verificamos: China não sugeriu pena de morte para políticos corruptos do Brasil,FALSO,https://t.co/HQjQ2SJvMW,http://debrasilia.com/artigo/china-sugere-ao-brasil-a-lei-que-da-pena-de-morte-para-os-politicos-corruptos.html,
983,"Quem quer dar aula faz isso por gosto, e não pelo salário. Se quer ganhar melhor, pede demissão e vai para o ensino privado. Geraldo Alckmin imagem",https://piaui.folha.uol.com.br/lupa/2018/09/03/verificamos-alckmin-professores/,https:piaui.folha.uol.com.brlupa,03/09/2018 10:05,"#Verificamos: Alckmin não disse que professor deve dar aula por gosto, e não pelo salário",FALSO,,,
36,ONU prevê que toda a humanidade seja chipada até 2030 e quem recusar será excluído da sociedade,https://aosfatos.org/noticias/onu-nao-previu-implantacao-de-chips-em-toda-a-humanidade-ate-2030/,https:www.aosfatos.org,14/06/2019,ONU não previu implantação de chips em toda a humanidade até 2030 | Aos Fatos,FALSO,https://t.co/J1MTZ1sp6p,http://fb.me/LpNwZTN2,
626,Santa Catarina Tem hoje a menor taxa de assassinatos,https://piaui.folha.uol.com.br/lupa/2019/05/23/verificamos-armas-santa-catarina/,https:piaui.folha.uol.com.brlupa,23/05/2019 18:49,#Verificamos:  falso que Santa Catarina tenha mais armas e a menor taxa de homicídios do país,FALSO,https://t.co/v463O8Fq9V,https://www.jornaldacidadeonline.com.br/noticias/14597/santa-catarina-o-estado-mais-armado-do-pais-tem-hoje-a-menor-taxa-de-assassinatos-do-pais,1
819,"Imprensa internacional desmascara Lula e divulga poupança de U$ 108 milhões em Luxemburgo, caiu a casa de vez",https://piaui.folha.uol.com.br/lupa/2019/01/14/verificamos-lula-poupanca/,https:piaui.folha.uol.com.brlupa,14/01/2019 18:49,#Verificamos:  falso que imprensa internacional denunciou poupança de US$ 108 milhões de Lula,FALSO,https://t.co/TdGfaWNS7e,http://fb.me/50W0FrpvN,
972,TSE entregou códigos de segurança das urnas eletrônicas para a Venezuela e negou acesso para auditores brasileiros,https://piaui.folha.uol.com.br/lupa/2018/09/18/verificamos-tse-codigos-urnas-venezuela/,https:piaui.folha.uol.com.brlupa,18/09/2018 20:05,#Verificamos: TSE não entregou códigos das urnas eletrônicas à Venezuela,FALSO,https://t.co/CKc8fn0v7u,https://twitter.com/i/web/status/1041860912184008704,1
314,Clamor: 94% da sociedade brasileira quer uma intervenção militar,https://aosfatos.org/noticias/nao-e-verdade-que-94-dos-brasileiros-apoiam-intervencao-militar/,https:www.aosfatos.org,25/05/2018,Não é verdade que 94% dos brasileiros apoiam intervenção militar | Aos Fatos,FALSO,https://t.co/ELjgVevn0K,https://www.jornaldopais.com.br/clamor-94-da-sociedade-brasileira-quer-uma-intervencao-militar/,
1027,Clamor: 94% da sociedade brasileira quer intervenção militar,https://piaui.folha.uol.com.br/lupa/2018/05/25/verificamos-pesquisa-intervencao/,https:piaui.folha.uol.com.brlupa,25/05/2018 21:03,#Verificamos: não há pesquisa que aponta que 94% da sociedade brasileira quer intervenção militar,FALSO,https://t.co/ELjgVevn0K,https://www.jornaldopais.com.br/clamor-94-da-sociedade-brasileira-quer-uma-intervencao-militar/,
976,Paraná Pesquisas registrado no TSE: Bolsonaro vence em todos os estados imagem,https://piaui.folha.uol.com.br/lupa/2018/09/17/verificamos-pesquisa-bolsonaro/,https:piaui.folha.uol.com.brlupa,17/09/2018 17:30,#Verificamos: 'Pesquisa' não mostra Bolsonaro vencendo em todos os estados,FALSO,https://t.co/EhUef9I9zj,https://twitter.com/i/web/status/1043262720836083712,
116,Padre Fábio de Melo: Melhor texto que já li sobre o acontecimento de ontem. Cansado e perplexo com tantas baboseiras e falsas justificativas pras atrocidades que ainda nos surpreendem todos os dias ...,https://aosfatos.org/noticias/padre-fabio-de-melo-nao-escreveu-que-armas-nao-matam-o-que-mata-e-ausencia-de-amor/,https:www.aosfatos.org,18/03/2019,"Padre Fábio de Melo não escreveu que ‘armas não matam, o que mata é a ausência de amor’ | Aos Fatos",FALSO,https://t.co/ila96GB6vs,https://twitter.com/i/web/status/1106534917373128704,
822,Avião do filho do Lula ... [de] US$ 50 milhões. Pago com o dinheiro do povo brasileiro,https://piaui.folha.uol.com.br/lupa/2019/01/10/verificamos-lulinha-aviao/,https:piaui.folha.uol.com.brlupa,10/01/2019 16:55,falso que filho de Lula tem avião de US$ 50 milhões,FALSO,http://t.co/uLR4RIeciq,http://www.blogdodigadiga.com.br/v1/2013/06/04/1-filho-do-ex-presidente-lula-compra-aviao-de-us50-000-00000-cinquenta-milhoes-de-dolares/,
