id,texto,URL,Author,datePublished,title,rotulo,short url,url,imagem
626,Santa Catarina Tem hoje a menor taxa de assassinatos,https://piaui.folha.uol.com.br/lupa/2019/05/23/verificamos-armas-santa-catarina/,https:piaui.folha.uol.com.brlupa,23/05/2019 18:49,#Verificamos:  falso que Santa Catarina tenha mais armas e a menor taxa de homicídios do país,FALSO,https://t.co/v463O8Fq9V,https://www.jornaldacidadeonline.com.br/noticias/14597/santa-catarina-o-estado-mais-armado-do-pais-tem-hoje-a-menor-taxa-de-assassinatos-do-pais,1
972,TSE entregou códigos de segurança das urnas eletrônicas para a Venezuela e negou acesso para auditores brasileiros,https://piaui.folha.uol.com.br/lupa/2018/09/18/verificamos-tse-codigos-urnas-venezuela/,https:piaui.folha.uol.com.brlupa,18/09/2018 20:05,#Verificamos: TSE não entregou códigos das urnas eletrônicas à Venezuela,FALSO,https://t.co/CKc8fn0v7u,https://twitter.com/i/web/status/1041860912184008704,1
42,Portal Transparência mostra que gestão Bolsonaro tem o maior orçamento para educação da história,https://aosfatos.org/noticias/orcamento-da-educacao-no-governo-bolsonaro-nao-e-o-maior-da-historia/,https:www.aosfatos.org,11/06/2019,Orçamento da Educação no governo Bolsonaro não é o ‘maior da história’ | Aos Fatos,FALSO,https://t.co/4Nvrgnh6bn,https://twitter.com/i/web/status/1136746283924885509,1
1043,Bebê nasce com 18 kg e bate o recorde de maior bebê do mundo,https://checamos.afp.com/bebe-vista-nesta-foto-pesava-775-quilos-ao-nascer,https:checamos.afp.com,18/02/2020 20:48,"A bebê vista nesta foto pesava 7,75 quilos ao nascer | Checamos",FALSO,https://t.co/Dkwm53u8Wt,https://baudasdicas.com/bebe-nasce-com-18-kg-e-bate-o-recorde-de-maior-bebe-mundo/,1
831,O presidente eleito [Bolsonaro] e seu filho [Eduardo] votaram conta a Lei Brasileira de Inclusão LBI,https://piaui.folha.uol.com.br/lupa/2019/01/03/verificamos-bolsonaro-inclusao/,https:piaui.folha.uol.com.brlupa,03/01/2019 17:54,#Verificamos: Bolsonaro e filho não votaram contra Lei Brasileira de Inclusão,FALSO,https://t.co/2IR8SZc8mD,https://twitter.com/i/web/status/1071314033016520705,1
261,"Vivemos numa época onde querem que os padres se casem e que os casados se divorciem. Querem que os héteros tenham relacionamentos líquidos sem compromisso, mas que os gays se casem na Igreja...",https://aosfatos.org/noticias/padre-fabio-de-melo-nao-publicou-mensagem-com-comentarios-contra-lgbts-e-favor-de-bolsonaro/,https:www.aosfatos.org,06/10/2018,Padre Fábio de Melo não publicou mensagem com comentários contra LGBTs e a favor de Bolsonaro | Aos Fatos,FALSO,https://t.co/Qcu2WLVMeS,http://fb.me/1FFne7Z13,1
928,"... E agora [Sergio Moro] aceita ser ministro, junto com ele [Fraga], no governo do Bozo sic imagem",https://piaui.folha.uol.com.br/lupa/2018/11/01/verificamos-sergio-moro-alberto-fraga/,https:piaui.folha.uol.com.brlupa,01/11/2018 16:47,#Verificamos:  falso que Sergio Moro condenou Alberto Fraga,FALSO,https://t.co/fF2juuTdH5,https://twitter.com/i/web/status/1058000896930574336,1
38,Bolsonaro autoriza Execução da dívida da Globo de mais de R$ 1 Bilhão de impostos sonegados,https://aosfatos.org/noticias/e-falso-que-bolsonaro-autorizou-execucao-de-divida-bilionaria-da-rede-globo/,https:www.aosfatos.org,13/06/2019,É falso que Bolsonaro autorizou execução de dívida bilionária da Rede Globo | Aos Fatos,FALSO,https://t.co/eZowzTFVPP,https://twitter.com/i/web/status/1156608859617857536,1
182,"Por falta de público, Posse simbólica de Lula é cancelada em Curitiba",https://aosfatos.org/noticias/pt-nao-convocou-posse-simbolica-de-lula-nem-cancelou-evento-por-falta-de-publico/,https:www.aosfatos.org,01/01/2019,PT  não convocou 'posse simbólica' de Lula nem cancelou evento por falta de público | Aos Fatos,FALSO,https://t.co/bqWiP7eU2y,https://republicadecuritiba.net/2019/01/01/por-falta-de-publico-posse-simbolica-de-lula-e-cancelada-em-curitiba/?fbclid=IwAR1kC3ZatRBgH8A1BOSFbJ_YOjUE9BXaFafCeb2XAtme74-zrpZ3SMiCGY8,1
1143,"Para o ministro [Luís Roberto Barroso], Bolsonaro foi corajoso e demonstrou ser um grande líder, pois não abandona sua nação nem em momentos difíceis como o que estamos passando agora, com a pandemia do COVID-19.",https://aosfatos.org/noticias/e-falso-que-barroso-declarou-apoio-manifestacoes-bolsonaristas-de-15-de-marco/,https:www.aosfatos.org,2020-03-17,falso que Barroso declarou apoio às manifestações bolsonaristas de 15 de março | Aos Fatos,FALSO,https://t.co/w7zfaSeMEq,https://www.diariodocentrodomundo.com.br/essencial/ministro-luis-roberto-barroso-da-tres-dias-para-bolsonaro-explicar-as-contas-da-campanha/,1
