id,rotulo,MAIUSCULAS,EXCLAMA,ASPAS,POL,POL_ABSOLUTO,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
53,FALSO,0.0,0.0,0.0,0,0.5263157894736842,0.09801136363636363,0.12062937062937062,0.17424242424242425,0.0,0.0,0.0,0.19090909090909092,0.0,0.7000000000000001,0.1909090909090909,0.34848484848484845,0.25974025974025977,0.3,0.1590909090909091,0.33264462809917356,0.6363636363636364,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1136,VERDADE,0.0,0.0,0.0,0,0.7894736842105264,0.032670454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.10606060606060606,0.3,0.3818181818181818,0.20909090909090905,0.12987012987012989,0.2,0.1590909090909091,0.23760330578512395,0.10606060606060606,0.38181818181818183,0.0,0.0,0.0,0.0,0.0,0.0
695,FALSO,0.0,0.0,0.0,0,0.8157894736842106,0.03422619047619047,0.04212454212454213,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.20952380952380953,0.1333333333333333,0.0,0.0,0.0,0.0,0.04978354978354978,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3312,VERDADE,0.0,0.0,0.0,0,0.7631578947368423,0.0625,0.07692307692307693,0.0,0.0,0.0,0.34782608695652173,0.0,0.0,0.3826086956521739,0.3043478260869565,0.13333333333333333,0.12422360248447205,0.09565217391304348,0.0,0.22727272727272727,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1314,VERDADE,0.0,0.0,0.0,0,0.7368421052631579,0.032670454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.10606060606060606,0.0,0.6363636363636364,0.4181818181818181,0.12987012987012989,0.0,0.0,0.28512396694214875,0.10606060606060606,0.19090909090909092,0.0,0.0,0.0,0.0,0.0,0.0
3712,VERDADE,0.0,0.0,0.0,0,0.5,0.28125,0.23076923076923078,0.4166666666666667,0.0,0.0,0.0,0.1826086956521739,0.30434782608695654,0.28695652173913044,0.2434782608695652,0.19999999999999998,0.37267080745341613,0.19130434782608696,0.0,0.3181818181818182,0.0,0.3652173913043478,1.0,0.0,1.0,0.0,1.0,0.0
241,FALSO,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.17391304347826086,0.0,0.6086956521739131,0.3826086956521739,0.608695652173913,0.9999999999999999,0.7453416149068323,0.4782608695652174,0.6086956521739131,1.0,0.10144927536231885,0.5478260869565218,1.0,1.0,1.0,0.0,1.0,1.0
3352,VERDADE,0.0,0.0,0.0,0,0.8157894736842106,0.06534090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.4,0.3181818181818182,0.20909090909090905,0.25974025974025977,0.3,0.0,0.23760330578512395,0.0,0.38181818181818183,1.0,0.0,1.0,0.0,1.0,0.0
3618,VERDADE,0.0,0.0,0.0,0,0.7631578947368423,0.06534090909090909,0.08041958041958043,0.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.509090909090909,0.06969696969696969,0.25974025974025977,0.3,0.0,0.19008264462809918,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2603,VERDADE,0.0,0.0,0.0,0,0.7105263157894737,0.06845238095238095,0.04212454212454213,0.0,0.0,0.0,0.19047619047619047,0.0,0.11111111111111112,0.10476190476190476,0.5333333333333332,0.292063492063492,0.27210884353741494,0.20952380952380953,0.16666666666666666,0.2987012987012987,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
